input,label
你在干什么,闲聊
你最近过得怎么样,闲聊
今天心情好不好,闲聊
明天天气怎么样,闲聊
今天适合出门吗,闲聊
晚上吃什么比较好,闲聊
早上吃什么养胃,闲聊
午休多久最合适,闲聊
熬夜对身体有什么危害,闲聊
怎么快速入睡,闲聊
失眠了该怎么办,闲聊
喝水有什么好处,闲聊
每天需要喝多少水,闲聊
空腹可以喝水吗,闲聊
早上空腹喝水好不好,闲聊
夏天怎么防暑降温,闲聊
冬天怎么保暖不臃肿,闲聊
换季为什么容易感冒,闲聊
感冒鼻塞怎么快速缓解,闲聊
轻微咳嗽需要吃药吗,闲聊
上火了吃什么降火,闲聊
口腔溃疡怎么好得快,闲聊
眼睛干涩怎么办,闲聊
长期看手机怎么保护眼睛,闲聊
久坐怎么缓解腰酸背痛,闲聊
上班族适合做什么运动,闲聊
每天运动多久最合适,闲聊
慢跑有什么好处,闲聊
跳绳可以减肥吗,闲聊
怎么高效减脂,闲聊
怎样轻松瘦身不反弹,闲聊
减肥可以吃米饭吗,闲聊
晚上不吃饭能减肥吗,闲聊
早餐不吃有什么坏处,闲聊
长期不吃晚饭会怎么样,闲聊
奶茶喝多了有什么危害,闲聊
碳酸饮料为什么不好,闲聊
经常吃零食会发胖吗,闲聊
水果什么时候吃最好,闲聊
饭前吃水果还是饭后吃,闲聊
苹果有什么营养价值,闲聊
香蕉适合什么人吃,闲聊
橙子可以天天吃吗,闲聊
草莓的功效是什么,闲聊
西瓜为什么夏天吃最好,闲聊
榴莲营养价值高吗,闲聊
芒果吃多了会上火吗,闲聊
火龙果有什么好处,闲聊
猕猴桃补充什么维生素,闲聊
怎么挑选新鲜的水果,闲聊
怎么挑选甜西瓜,闲聊
怎么挑选成熟芒果,闲聊
隔夜饭可以吃吗,闲聊
隔夜菜为什么不能多吃,闲聊
微波炉加热食物安全吗,闲聊
剩饭怎么保存不变质,闲聊
煮鸡蛋需要几分钟,闲聊
溏心蛋怎么煮,闲聊
水煮蛋和煎蛋哪个更健康,闲聊
牛奶什么时候喝最好,闲聊
睡前喝牛奶助眠吗,闲聊
纯牛奶和酸奶哪个更好,闲聊
酸奶可以空腹喝吗,闲聊
蜂蜜水什么时候喝效果最好,闲聊
蜂蜜可以长期食用吗,闲聊
喝茶有什么好处,闲聊
绿茶和红茶的区别,闲聊
熬夜适合喝什么茶,闲聊
胃不好可以喝茶吗,闲聊
咖啡可以天天喝吗,闲聊
喝咖啡的利弊是什么,闲聊
早上喝咖啡好不好,闲聊
空腹喝咖啡会怎么样,闲聊
怎样养成自律的习惯,闲聊
怎么改掉拖延症,闲聊
如何提高专注力,闲聊
怎样提升记忆力,闲聊
记忆力变差是什么原因,闲聊
怎么缓解焦虑情绪,闲聊
压力太大怎么调节,闲聊
心情不好的时候怎么办,闲聊
如何保持心态平和,闲聊
怎样缓解精神内耗,闲聊
