input,label
切到上一首歌曲,播控
切到上一曲,播控
播放上一首歌,播控
播放上一曲,播控
切换到上一首,播控
切换到上一曲,播控
回到上一首,播控
回到上一曲,播控
上一首,播控
上一曲,播控
来点上一首歌,播控
给我切上一首,播控
帮我切到上一曲,播控
帮我切换到上一首歌,播控
切歌切到上一首,播控
切歌切到上一曲,播控
往前切一首歌,播控
往前切一曲,播控
往前切换歌曲,播控
回到上一个曲目,播控
播放前一首歌,播控
播放前一曲,播控
切换前一首曲目,播控
切回上一首歌曲,播控
切回上一曲,播控
播放上一个音乐,播控
打开上一首音乐,播控
调到上一首歌,播控
调到上一曲,播控
换到上一首,播控
换到上一曲,播控
上一个曲目,播控
上一个音乐,播控
切到下一首歌曲,播控
切到下一曲,播控
播放下一首歌,播控
播放下一曲,播控
切换到下一首,播控
切换到下一曲,播控
跳到下一首,播控
跳到下一曲,播控
下一首,播控
下一曲,播控
来点下一首歌,播控
给我切下一首,播控
帮我切到下一曲,播控
帮我切换到下一首歌,播控
切歌切到下一首,播控
切歌切到下一曲,播控
往后切一首歌,播控
往后切一曲,播控
往后切换歌曲,播控
跳到下一个曲目,播控
播放后一首歌,播控
播放后一曲,播控
切换下一首曲目,播控
切到下一个音乐,播控
打开下一首音乐,播控
调到下一首歌,播控
调到下一曲,播控
换到下一首,播控
换到下一曲,播控
下一个曲目,播控
下一个音乐,播控
切换音乐,播控
换一首歌,播控
换一曲音乐,播控
切换曲目,播控
换首歌播放,播控
换个曲目,播控
换下一首音乐,播控
重新换一首歌,播控
更换当前歌曲,播控
更换播放曲目,播控
切换当前播放的音乐,播控
换个曲子,播控
换首曲子播放,播控
切歌,播控
重新切换曲目,播控
更换正在播放的歌曲,播控
换个音乐继续播放,播控
换一段音乐,播控
换一个曲目,播控
继续播放,播控
接着播放音乐,播控
继续放歌,播控
接着放曲目,播控
恢复播放,播控
继续播放歌曲,播控
恢复音乐播放,播控
接着播放刚才的歌,播控
继续播放当前曲目,播控
把音乐继续播放,播控
不要暂停继续播放,播控
恢复刚才的播放状态,播控
继续播放列表歌曲,播控
接着播放音乐曲目,播控
继续播放这首曲子,播控
恢复曲目播放,播控
继续放音乐,播控
保持继续播放,播控
接着往下播放,播控
重新继续播放,播控
继续播放音频,播控
停止播放,播控
