input,label
拨打电话,电话
打电话,电话
帮我拨个电话,电话
发起通话,电话
直接打电话,电话
帮我打一通电话,电话
开启电话拨打,电话
进行电话拨号,电话
打电话给爸爸,电话
打电话给奶奶,电话
打电话给爷爷,电话
打电话给外婆,电话
打电话给外公,电话
打电话给哥哥,电话
打电话给姐姐,电话
打电话给弟弟,电话
打电话给妹妹,电话
打电话给老师,电话
打电话给同学,电话
打电话给同事,电话
打电话给领导,电话
打电话给客户,电话
打电话给闺蜜,电话
打电话给兄弟,电话
打电话给王叔,电话
打电话给李阿姨,电话
打电话给张三,电话
打电话给李四,电话
打电话给王五,电话
打电话给赵六,电话
拨打张三的电话,电话
拨打李四的手机号,电话
给王五打个电话,电话
给赵六拨号通话,电话
联系一下孙七,电话
致电周八,电话
拨通吴九的电话,电话
打通郑十的手机号,电话
帮我联系小明,电话
帮我呼叫小红,电话
拨打110,电话
拨打119,电话
拨打120,电话
拨打122,电话
拨打12315,电话
拨打12345,电话
拨打17893567211,电话
拨打15267891234,电话
拨打13898765432,电话
拨打13912345678,电话
拨打18765432109,电话
拨打18811223344,电话
拨打15922334455,电话
拨打13677889900,电话
拨打13755667788,电话
拨打18900112233,电话
拨打19944556677,电话
打电话给15267891234,电话
打电话给13898765432,电话
帮我拨打13912345678,电话
帮我拨通18765432109,电话
致电18811223344,电话
拨号15922334455,电话
呼叫13677889900,电话
联系13755667788,电话
拨打顺丰快递号码,电话
拨打美团外卖客服电话,电话
拨打京东售后客服电话,电话
拨打移动客服号码,电话
拨打联通客服号码,电话
拨打电信客服号码,电话
拨打银行客服电话,电话
拨打快递公司官方电话,电话
拨打酒店前台电话,电话
拨打物业客服电话,电话
拨打营业厅联系电话,电话
拨打公交咨询热线,电话
拨打铁路客服热线,电话
拨打航空咨询电话,电话
拨打152开头的电话,电话
拨打138开头的电话,电话
拨打139开头的电话,电话
拨打187开头的电话,电话
拨打188开头的电话,电话
拨打159开头的电话,电话
拨打136开头的电话,电话
拨打137开头的电话,电话
拨打189开头的电话,电话
拨打199开头的电话,电话
拨打177开头的电话,电话
拨打176开头的电话,电话
拨打175开头的电话,电话
拨打173开头的电话,电话
拨打172开头的电话,电话
拨打166开头的电话,电话
拨打158开头的电话,电话
拨打157开头的电话,电话
拨打156开头的电话,电话
拨打155开头的电话,电话
拨打153开头的电话,电话
拨打151开头的电话,电话
拨打135开头的电话,电话
拨打134开头的电话,电话
拨打张三152开头的电话,电话
拨打李四138开头的电话,电话
拨打王五139开头的电话,电话
拨打赵六187开头的电话,电话
拨打孙七188开头的电话,电话
拨打周八159开头的电话,电话
拨打吴九136开头的电话,电话
拨打郑十137开头的电话,电话
拨打小明189开头的电话,电话
拨打小红199开头的电话,电话
