input,label
播放周杰伦的音乐,影音
来几首周杰伦唱的歌,影音
我想听林俊杰的歌曲,影音
放一下陈奕迅的歌,影音
播放蔡依林演唱的曲目,影音
来点孙燕姿的音乐,影音
打开王菲的歌曲列表,影音
播放张学友演唱的音乐,影音
我想听李宗盛的老歌,影音
放五月天的歌曲,影音
来点邓丽君的经典曲目,影音
播放周杰伦和蔡依林合唱的歌,影音
放林俊杰和孙燕姿合唱的曲目,影音
来几首陈奕迅和王菲合唱的歌曲,影音
播放张学友和李宗盛合唱的音乐,影音
来点五月天和周杰伦合唱的曲目,影音
播放周杰伦和蔡依林合唱的华语歌,影音
播放周杰伦和蔡依林合唱的粤语歌曲,影音
播放周杰伦和蔡依林合唱的英文歌曲,影音
播放周杰伦和蔡依林合唱的韩语歌曲,影音
放林俊杰和孙燕姿合唱的华语曲目,影音
放林俊杰和孙燕姿合唱的英文歌,影音
来几首双人合唱的粤语歌曲,影音
来点男女合唱的日语歌曲,影音
播放周杰伦蔡依林合唱最热的华语歌,影音
播放周杰伦蔡依林合唱最新最热的英文歌,影音
播放林俊杰孙燕姿合唱热度最高的粤语歌,影音
播放陈奕迅王菲合唱最新的韩语曲目,影音
播放双人合唱榜单最热的歌曲,影音
播放两位歌手合唱最新上线的曲目,影音
播放男歌手演唱的音乐,影音
来点女歌手唱的歌曲,影音
播放港台男歌手的曲目,影音
播放欧美女歌手的歌曲,影音
放韩国男歌手演唱的音乐,影音
来点中国大陆女歌手的老歌,影音
播放90年代男歌手的流行歌曲,影音
播放00年代女歌手的音乐,影音
播放80年代港台男歌手曲目,影音
播放10年代欧美女歌手歌曲,影音
播放华语男歌手的歌曲,影音
播放粤语女歌手的音乐,影音
来点英文男歌手的曲目,影音
播放韩语女歌手的歌曲,影音
播放适合开车听的华语男歌手歌曲,影音
播放午休时听的粤语女歌手音乐,影音
播放旅行途中听的英文男歌手曲目,影音
播放睡前听的韩语女歌手歌曲,影音
播放周杰伦演唱的粤语歌曲,影音
播放林俊杰唱的英文曲目,影音
来点陈奕迅演唱的韩语歌曲,影音
播放孙燕姿演唱的日语歌曲,影音
放王菲唱的华语老歌,影音
播放张学友演唱的多语种曲目,影音
播放男歌手合唱的流行曲目,影音
播放两位女歌手合唱的歌曲,影音
播放男女双人合唱的国风歌曲,影音
播放最新上榜的合唱曲目,影音
播放热度排名靠前的合唱歌曲,影音
播放90年代双人合唱老歌,影音
播放00年代男女合唱流行歌,影音
播放10年代合唱英文曲目,影音
播放适合露营听的合唱歌曲,影音
播放健身时听的双人合唱曲目,影音
播放下午茶放松听的合唱音乐,影音
播放周杰伦最新发布的合唱歌曲,影音
播放林俊杰热度最高的合唱曲目,影音
播放陈奕迅经典的双人合唱老歌,影音
播放蔡依林和男歌手合唱的舞曲,影音
播放孙燕姿和女歌手合唱的民谣,影音
我要听男歌手演唱的英文歌曲,影音
来点女歌手演唱的韩语曲目,影音
播放港台地区男歌手的粤语歌曲,影音
播放欧美女歌手的英文流行歌,影音
播放韩国女歌手的韩语舞曲,影音
播放内地男歌手的华语民谣,影音
播放70年代男歌手的老歌,影音
播放80年代女歌手的流行曲目,影音
播放90年代港台男歌手粤语歌,影音
播放00年代欧美女歌手英文歌,影音
播放华语语种男歌手的摇滚曲目,影音
播放粤语语种女歌手的抒情歌曲,影音
播放英文语种男歌手的流行音乐,影音
播放韩语语种女歌手的舞曲,影音
播放适合工作收听的男歌手英文歌,影音
播放睡前放松的女歌手粤语曲目,影音
播放长途开车听的华语男歌手老歌,影音
播放露营休闲的韩语女歌手新歌,影音
播放周杰伦唱的华语流行歌曲,影音
播放林俊杰演唱的英文摇滚曲目,影音
播放陈奕迅录制的粤语抒情歌,影音
播放蔡依林发行的韩语舞曲,影音
