input,label
导航到解放碑。,出行
去洪崖洞民俗风貌区。,出行
我要去重庆江北国际机场T3航站楼。,出行
导航到重庆北站北广场。,出行
去观音桥步行街。,出行
从沙坪坝到解放碑，帮我避开堵车路段。,出行
从大学城到江北嘴，走最快的高速路。,出行
从南岸区到北碚区，走不收费的路。,出行
我电动车快没电了，找一下渝中区附近的快充站。,出行
开电动车从主城去武隆仙女山，路上需要充电，帮我规划一下。,出行
（在去磁器口的路上）先找个路边的便利店停一下。,出行
去南山一棵树观景台，路上加个油。,出行
我一天想逛李子坝轻轨穿楼、鹅岭二厂和长江索道，怎么走最顺路？,出行
规划个路线：先去磁器口古镇，然后到南山吃火锅，最后回解放碑酒店。,出行
我想从山城步道入口步行到十八梯，怎么走？,出行
从重庆工商大学骑行到南滨路音乐广场。,出行
我想去重庆西站赶7点的火车，走哪条路最保险？,出行
我在朝天门码头附近，想去个地道的重庆小面馆吃午饭，然后去坐长江索道。,出行
晚上开车去南山上的枇杷园吃火锅，路好走吗？,出行
我要经过黄花园大桥去江北嘴，在立交上应该走哪个匝道？,出行
我这周六上午10点到下午6点有空，想在主城区内逛一个博物馆、吃顿特色午餐，再看个展览，怎么安排？,出行
我下午2点到解放碑酒店，晚上8点的飞机，这段时间怎么高效体验重庆特色？,出行
我想用一天时间专门打卡重庆的特色小吃，从早上吃到晚上，帮我规划个“吃货路线”。,出行
今晚想和朋友在观音桥附近吃个饭，然后看个电影或者脱口秀，有合适的安排吗？,出行
周末带7岁孩子来重庆玩两天，想安排得轻松有趣，住解放碑附近，怎么规划？,出行
我想一天内从主城去大足石刻，然后返回市区还能逛个夜市，可行吗？怎么安排？,出行
四位老人（60-70岁）来重庆，想看看市容江景，不要太累，怎么安排一天的行程？,出行
五六个朋友周末聚会，想下午先玩点有趣的（比如密室/桌游），晚上聚餐，然后找个地方喝点酒听听音乐，有推荐吗？,出行
我明天上午10点在江北嘴金融城有会议，下午3点结束。需要安排一个小时的客户接待，晚上7点前要赶到重庆北站。怎么安排接待地点和交通？,出行
我买了后天草莓音乐节（在璧山枫香湖）的下午场票，当天从沙坪坝过去，怎么安排往返和当天的其他活动？,出行
导航到南山一棵树，中途帮我找一个火锅店，再找一个便利店,出行
我走这条高速去成都，一路上有哪些服务区可以休息？,出行
我车上有病人需要急救，现在走内环，沿途最近的医院是哪家？,出行
我开电动车去璧山，帮我看看这条路线沿途哪里有快充桩？,出行
开了很久车，想买点水和零食，这条高速路上前面有便利店或超市吗？,出行
快到中午了，这条去仙女山的山路上，沿途有地道的农家乐或餐馆吗？,出行
我车胎压报警了，在这附近继续开，一路上哪里有补胎或者汽修店？,出行
堵在路上了，内环这一截路上，哪里有能临时停一下的厕所？,出行
我这特斯拉电量不太够了，走这条路去南岸，一路上有特斯拉超充站吗？,出行
这么晚了，从九街回沙坪坝这一路上，还有哪些药店或便利店开着门？,出行
我开车在南滨路看夜景，这一路上哪里有不收费的观景平台或停车场可以停下来看看？,出行
我饿了，附近有什么好吃的火锅店？,出行
想快速吃点东西，周边有麦当劳或肯德基吗？,出行
我有点不舒服，周围最近的医院在哪里？,出行
附近哪里有药店？想买点感冒药。,出行
周围有便利店吗？想买瓶水。,出行
附近有什么大超市？想去买点菜。,出行
我急需取点现金，周围哪里有银行或ATM机？,出行
我电动车快没电了，附近哪里有充电桩？,出行
晚上想看电影，附近有什么电影院？,出行
想找个地方坐坐，周围有安静的咖啡厅或茶馆吗？,出行
我需要报警/求助，周围最近的派出所在哪里？,出行
我车坏了，动不了，附近有汽车修理店吗？,出行
我在这附近，有什么好玩的地方推荐吗？,出行
我需要用电脑处理点工作，周围有提供免费Wi-Fi的咖啡馆或图书馆吗？,出行
导航到重庆江北机场T3航站楼。2. 我开的是电动车，帮我看看这条路线中途有没有合适的快充站，我想充个电再走。,出行
导航去磁器口古镇。2. 现在有点饿了，我想在路上找家小面馆吃碗面，能帮我找找并顺路过去吗？,出行
规划一条从主城到武隆仙女山的自驾路线。2. 中途我想找个服务区休息一下，最好还能买点水和零食，推荐一个沿途合适的服务区。,出行
我正在去解放碑的路上（导航中）。2. 突然觉得心脏不舒服，需要马上去最近的医院，别管原来的目的地了！,出行
我想去南山一棵树看夜景。2. 但我想先去南滨路找个观景餐厅吃晚饭，然后再上山，你能帮我规划一条路线，把这两件事都包括进去吗？,出行
导航到重庆欢乐谷。2. （行驶一段后）等等，先帮我看看路上有没有加油站。3. （添加加油站后）再帮我找个附近的便利店，我想买点水带进去。,出行
搜一下本周重庆欢乐谷夜场门票优惠，老人能免票吗？,出行
上海迪士尼怎么玩比较省时？,出行
从观音桥怎么坐地铁去重庆动物园？,出行
三峡博物馆今天几点开门？周一闭馆吗？,出行
明天想去金佛山，下雨的话索道还开吗？,出行
坐长江索道可以带行李箱上去吗？,出行
重庆最近有什么灯光秀或者夜市活动吗？,出行
两个人周末在重庆玩两天，大概要花多少钱？,出行
洪崖洞里面有寄存行李的地方吗？,出行
我想看大熊猫，是去成都熊猫基地好还是重庆动物园好？,出行
自驾去武隆仙女山，景区停车方便吗？收费多少？,出行
带5岁小孩去重庆科技馆，适合玩吗？,出行
现在去重庆图书馆需要提前预约吗？,出行
去重庆的温泉酒店泡温泉，需要自己带泳衣吗？,出行
什么时候去黑山谷看红叶最好？,出行
我要导航,出行
开启导航,出行
启动导航功能,出行
直接开始导航,出行
打开导航服务,出行
退出导航,出行
取消导航,出行
结束当前导航,出行
停止导航行程,出行
不继续导航了,出行
终止本次导航,出行
导航到天安门广场,出行
我要去欢乐谷,出行
