input,label
今天天气怎么样,搜索
今天最高温度多少,搜索
今天最低温度多少,搜索
明天天气怎么样,搜索
明天最高温度多少,搜索
明天要不要穿棉袄,搜索
明天能不能穿寸衫,搜索
最近一周有雨吗,搜索
最近一周有晴天吗,搜索
最近一周最高温度多少,搜索
最近一周有雾霾吗,搜索
深圳现在下雨吗,搜索
广州今天湿度高不高,搜索
杭州今天空气质量怎么样,搜索
成都现在刮风吗？风力大不大,搜索
上海周末天气预报,搜索
西安今天的最高温度,搜索
东京明天会下雪吗,搜索
巴黎本周天气趋势,搜索
现在风力等级是多少,搜索
今天能见度怎么样,搜索
现在体感温度怎么样,搜索
给我看点新闻,搜索
最新的新闻是什么,搜索
今天有什么重要新闻,搜索
看看现在有什么热点新闻,搜索
我想看科技新闻,搜索
体育方面的新闻有哪些,搜索
国际新闻更新一下,搜索
国内时政新闻,搜索
有没有特朗普的新闻,搜索
人工智能的最新进展有哪些新闻,搜索
奥运会最新消息,搜索
特斯拉降价了吗,搜索
现在微博/抖音上的热搜是什么,搜索
当前最热门的话题有哪些,搜索
本周十大新闻事件,搜索
今天大家都在讨论什么,搜索
娱乐八卦新闻,搜索
李连杰最近有啥新闻,搜索
最近有啥新电影上映,搜索
最近有啥新歌推出,搜索
