input,label
前档风玻璃看不清,感知车控
我想要下车,感知车控
我感觉车门没有关好,感知车控
当前驾驶模式不舒服,感知车控
空调有点费电,感知车控
按摩力度加大点,感知车控
坐垫有点冷,感知车控
坐垫太热了,感知车控
音乐太大声了吧,感知车控
车内有点干燥,感知车控
想开天窗看看,感知车控
咋回事，我好冷哦,感知车控
我感觉我有点累,感知车控
我不太舒服,感知车控
灯光太暗，我看不清,感知车控
车内灯光太亮了,感知车控
我的肩膀不舒服,感知车控
阳光有点刺眼,感知车控
阳光太暗了,感知车控
好晒啊,感知车控
车里怎么这么热,感知车控
感觉有点闷,感知车控
这风有点小,感知车控
风太大了吧,感知车控
有点吵啊,感知车控
能不能安静一点,感知车控
想吹吹风,感知车控
今天阳光挺强的啊,感知车控
太冷了吧,感知车控
我有点累了,感知车控
有点困，想休息一下,感知车控
脖子有点疼,感知车控
有点提不起劲,感知车控
外面太吵了，是不是窗户没关严,感知车控
今天心情不太好，放点开心的歌,感知车控
感觉有点压抑,感知车控
能不能亮堂一点,感知车控
好像有股土腥味,感知车控
