input,label
主驾车窗降下来，把温度调到22度,多意图
关闭副驾车窗，能量回收调为高,多意图
驾驶模式切换到运动，关闭ESP,多意图
打开制动缓停，把伴我回家灯时长设置为30秒,多意图
关闭自动大灯，打开主驾阅读灯,多意图
把主驾温度调到24度，退出零重力座椅,多意图
打开驻车制动，关闭车道偏离预警,多意图
屏幕切换为深色，打开自动门把手灯,多意图
关闭行车视频限制，把超速报警速度设置为130,多意图
打开车身稳定系统，关闭后雾灯,多意图
驾驶模式设置为湿滑路面，把寻车灯时长设置为60秒,多意图
关闭连续对话，打开对外供电,多意图
把副驾温度调到20度，关闭前排顶灯,多意图
打开陡坡缓降，关闭免唤醒功能,多意图
关闭自动驻车，打开前向碰撞预警,多意图
屏幕亮度调到60%，关闭行人警示音,多意图
打开远光灯，把疲劳驾驶提醒时长设置为2.5小时,多意图
关闭WiFi，打开充电呼吸灯,多意图
把右后温度调到26度，关闭自动顶灯,多意图
打开拨杆变道，关闭伴我回家照明,多意图
驾驶模式切换为田间小径，关闭电子稳定控制系统,多意图
把左后温度调到21度，打开自动大灯,多意图
关闭紧急车道保持，打开前雾灯,多意图
打开NOA高速领航，关闭全车阅读灯,多意图
把二排右温度调到23度，打开自动门把手照明,多意图
关闭拖车模式，打开设防模式鸣笛灯光,多意图
打开车外灯光，把续航模式切换为动态续航,多意图
把一排左温度调到25度，关闭充电口盖灯,多意图
关闭屏幕亮度自动调节，打开寻车灯语,多意图
打开ESC系统，把充电上限设置为100%,多意图
关闭后车窗，把充电电流设置为8安,多意图
把二排左温度调到22度，关闭低速提示音,多意图
打开车道偏离辅助，关闭屏幕保护,多意图
打开灯光设置界面，把屏幕亮度调到6档,多意图
关闭车身电子稳定系统，打开上下车自动灯光,多意图
把右后车窗开一条缝，把温度调到27度,多意图
关闭前车起步提醒，打开解锁灯语,多意图
打开个性驾驶模式，关闭氛围灯自动调节,多意图
把主驾靠背往后躺一点，关闭自动阅读灯,多意图
打开HDC陡坡缓降，把闭锁模式设置为鸣笛,多意图
